ITEM_VNUM~RANGE	ITEM_NAME(K)	ITEM_TYPE	SUB_TYPE	SIZE	ANTI_FLAG	FLAG	ITEM_WEAR	IMMUNE	GOLD	SHOP_BUY_PRICE	REFINE	REFINESET	MAGIC_PCT	LIMIT_TYPE0	LIMIT_VALUE0	LIMIT_TYPE1	LIMIT_VALUE1	ADDON_TYPE0	ADDON_VALUE0	ADDON_TYPE1	ADDON_VALUE1	ADDON_TYPE2	ADDON_VALUE2	ADDON_TYPE3	ADDON_VALUE3	ADDON_TYPE4	ADDON_VALUE4	VALUE0	VALUE1	VALUE2	VALUE3	VALUE4	VALUE5	Specular	SOCKET	ATTU_ADDON
1	µ·²Ù·¯¹Ì	ITEM_ELK	0	1	NONE	NONE	NONE	NONE	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0
2	ÇÑ±¹¹«½Ö¹öÁ¯	ITEM_NONE	0	1	NONE	NONE	NONE	NONE	0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0
10	µµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG|ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	11	1	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	0	0	1	0
11	µµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG|ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	12	2	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	7	0	1	0
12	µµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG|ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	13	3	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	14	0	1	0
13	µµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG|ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	14	4	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	21	0	1	0
14	µµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG|ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	15	5	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	28	30	1	0
15	µµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG|ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	16	6	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	35	40	1	0
16	µµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG|ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	17	7	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	42	50	1	0
17	µµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG|ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	0	0	18	8	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	49	65	1	0
